Model,TDP (Watts)
GeForce GTX 280,236.0
GeForce GTX 285,204.0
GeForce GTX 295,289.0
GeForce 210,
GeForce GT 220,
GeForce GT 240,
GeForce GTS 250,
GeForce GTX 260,
GeForce GTX 260 Core 216,
GeForce GTX 260 Core 216 (55 nm),
GeForce GTX 275,
GeForce GTX 280,
GeForce GTX 285,
GeForce GTX 295,
GeForce 310,30.0
GeForce 315,33.0
GeForce GT 320,43.0
GeForce GT 330,75.0
GeForce GT 330,75.0
GeForce GT 330,75.0
GeForce GT 340,69.0
GeForce 405,
GeForce GT 420,
GeForce GT 430,
GeForce GT 430,
GeForce GT 430,
GeForce GT 440,
GeForce GT 440,
GeForce GTS 450,
GeForce GTS 450,
GeForce GTX 460 SE,
GeForce GTX 460,
GeForce GTX 460,
GeForce GTX 460,
GeForce GTX 460,
GeForce GTX 465,
GeForce GTX 470,
GeForce GTX 480,
GeForce 510,
GeForce GT 520,
GeForce GT 530,
GeForce GT 545,
GeForce GT 545,
GeForce GTX 550 Ti,
GeForce GTX 555,
GeForce GTX 560 SE,
GeForce GTX 560,
GeForce GTX 560 Ti,
GeForce GTX 560 Ti,
GeForce GTX 560 Ti 448 Cores,
GeForce GTX 570,
GeForce GTX 580,
GeForce GTX 590,
GeForce 605,25.0
GeForce GT 610,29.0
GeForce GT 620,30.0
GeForce GT 620,49.0
GeForce GT 625,30.0
GeForce GT 630,50.0
GeForce GT 630,49.0
GeForce GT 630,65.0
GeForce GT 630,25.0
GeForce GT 635,35.0
GeForce GT 640,75.0
GeForce GT 640,50.0
GeForce GT 640,65.0
GeForce GT 640,75.0
GeForce GT 640,49.0
GeForce GT 645,140.0
GeForce GTX 645,64.0
GeForce GTX 650,64.0
GeForce GTX 650,
GeForce GTX 650 Ti,110.0
GeForce GTX 650 Ti Boost,134.0
GeForce GTX 660,140.0
GeForce GTX 660,130.0
GeForce GTX 660 Ti,150.0
GeForce GTX 670,170.0
GeForce GTX 680,195.0
GeForce GTX 690,300.0
GeForce GT 705,29.0
GeForce GT 710,19.0
GeForce GT 720,19.0
GeForce GT 730 ,23.0
GeForce GT 730 ,25.0
GeForce GT 730 ,49.0
GeForce GT 740,64.0
GeForce GT 740,64.0
GeForce GTX 745,55.0
GeForce GTX 750,55.0
GeForce GTX 750 Ti,60.0
GeForce GTX 760 192-bit,130.0
GeForce GTX 760,170.0
GeForce GTX 760 Ti,170.0
GeForce GTX 770,230.0
GeForce GTX 780,230.0
GeForce GTX 780 Ti,230.0
GeForce GTX TITAN,230.0
GeForce GTX TITAN Black,230.0
GeForce GTX TITAN Z,375.0
GeForce GT 945A,33.0
GeForce GTX 950,90.0
GeForce GTX 950 (OEM),
GeForce GTX 960,120.0
GeForce GTX 960 (OEM),
GeForce GTX 970,145.0
GeForce GTX 980,165.0
GeForce GTX 980 Ti,250.0
GeForce GTX TITAN X,250.0
GeForce GT 1010 ,30.0
GeForce GT 1010 ,20.0
GeForce GT 1030 ,20.0
GeForce GT 1030 ,30.0
GeForce GTX 1050,75.0
GeForce GTX 1050,75.0
GeForce GTX 1050 Ti,75.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1060 ,120.0
GeForce GTX 1070,150.0
GeForce GTX 1070 Ti,180.0
GeForce GTX 1080,180.0
GeForce GTX 1080,180.0
GeForce GTX 1080 Ti,250.0
TITAN X Pascal,250.0
TITAN Xp,250.0
Nvidia TITAN V,250.0
Nvidia TITAN V CEO Edition,250.0
GeForce GTX 1630,75.0
GeForce GTX 1650,75.0
GeForce GTX 1650,75.0
GeForce GTX 1650,90.0
GeForce GTX 1650 Super,100.0
GeForce GTX 1660,120.0
GeForce GTX 1660 Super,125.0
GeForce GTX 1660 Ti,120.0
GeForce RTX 2060,160.0
GeForce RTX 2060,160.0
GeForce RTX 2060,185.0
GeForce RTX 2060 Super,175.0
GeForce RTX 2070,175.0
GeForce RTX 2070 Super,215.0
GeForce RTX 2080,215.0
GeForce RTX 2080 Super,250.0
GeForce RTX 2080 Ti,250.0
Nvidia TITAN RTX,280.0
GeForce RTX 3050,115.0
GeForce RTX 3050,130.0
GeForce RTX 3060,170.0
GeForce RTX 3060,170.0
GeForce RTX 3060,170.0
GeForce RTX 3060,170.0
GeForce RTX 3060 Ti,200.0
GeForce RTX 3060 Ti,200.0
GeForce RTX 3070,220.0
GeForce RTX 3070 Ti,290.0
GeForce RTX 3080,320.0
GeForce RTX 3080,350.0
GeForce RTX 3080 Ti,350.0
GeForce RTX 3090,350.0
GeForce RTX 3090 Ti,450.0
GeForce RTX 4060,115.0
GeForce RTX 4060 Ti,160.0
GeForce RTX 4060 Ti,160.0
GeForce RTX 4070,200.0
GeForce RTX 4070 Super,220.0
GeForce RTX 4070 Ti,285.0
GeForce RTX 4070 Ti Super,285.0
GeForce RTX 4080,285.0
GeForce RTX 4080,320.0
GeForce RTX 4080 Super ,320.0
GeForce RTX 4090D,425.0
GeForce RTX 4090,450.0
GeForce2 Go 100,
GeForce2 Go,
GeForce2 Go 200,
GeForce4 Go 410,
GeForce4 Go 420,
GeForce4 Go 440,
GeForce4 Go 460,
GeForce4 Go 488,
GeForce4 Go 4200,
GeForce FX Go 5100*,
GeForce FX Go 5500*,
GeForce FX Go 5600*,
GeForce FX Go 5650*,
GeForce FX Go 5700*,
GeForce Go 6100 + nForce Go 430,
GeForce Go 6150 + nForce Go 430,
GeForce Go 6200,
GeForce Go 6400,
GeForce Go 6600,
GeForce Go 6800,
GeForce Go 6800 Ultra,
GeForce 7000M,
GeForce 7150M,
GeForce Go 72002,
GeForce Go 73002,
GeForce Go 74002,
GeForce Go 7600,
GeForce Go 7600 GT,
GeForce Go 7700,
GeForce Go 7800,35.0
GeForce Go 7800 GTX,65.0
GeForce Go 7900 GS,20.0
GeForce Go 7900 GTX,45.0
GeForce Go 7950 GTX,45.0
GeForce 8200M G,
GeForce 8400M G,10.0
GeForce 8400M GS,11.0
GeForce 8400M GT,14.0
