Title,Main Story,Main + Extra,Completionist,CPU,RAM,VIDEO CARD,DEDICATED VIDEO RAM
The Elder Scrolls V: Skyrim,34½ Hours,109 Hours,232 Hours,,,,
Grand Theft Auto: San Andreas,30½ Hours,45½ Hours,75½ Hours,,,,
Resident Evil 7: Biohazard,9½ Hours,11½ Hours,26½ Hours,,,,
Marvel's Spider-Man: Game of the Year Edition,17½ Hours,29 Hours,43½ Hours,,,,
Assassin's Creed II,19 Hours,26 Hours,35 Hours,,,,
Hi-Fi Rush,11 Hours,13½ Hours,61½ Hours,,,,
Cocoon (2023),5 Hours,5 Hours,5½ Hours,,,,
Dishonored 2,12½ Hours,22½ Hours,45 Hours,,,,
Dying Light,18 Hours,35½ Hours,59 Hours,,,,
Dark Souls: Remastered,29½ Hours,44 Hours,69 Hours,,,,
Resident Evil Village,10 Hours,12½ Hours,37 Hours,,,,
Payday 2,26½ Hours,146 Hours,493 Hours,,,,
Borderlands 3,23 Hours,44½ Hours,77 Hours,,,,
Middle-Earth: Shadow of War,20½ Hours,36 Hours,55½ Hours,,,,
Hotline Miami,5 Hours,7½ Hours,15½ Hours,,,,
Shadow of the Tomb Raider: Definitive Edition,13 Hours,27 Hours,42 Hours,,,,
Final Fantasy VII,36½ Hours,50 Hours,82 Hours,,,,
Star Wars Jedi: Survivor,20 Hours,33 Hours,55 Hours,,,,
Firewatch,4 Hours,4½ Hours,5 Hours,,,,
Yakuza: Like a Dragon,46 Hours,67 Hours,102 Hours,,,,
Metro 2033 Redux,9 Hours,11½ Hours,23½ Hours,,,,
Inscryption,12½ Hours,15½ Hours,24 Hours,,,,
The Outer Worlds: Spacer's Choice Edition,16 Hours,35 Hours,56½ Hours,,,,
A Plague Tale: Requiem,17 Hours,19½ Hours,27½ Hours,,,,
Deathloop,16½ Hours,24 Hours,35 Hours,,,,
Far Cry 3,15½ Hours,25½ Hours,37 Hours,,,,
